frame,matches,corr_3d2d,inliers,success,pnp_success,pnp_inliers,t_norm,rot_angle,reproj_rmse
176,200,143,131,True,True,131,0.050214702094742415,1.2826298623789538,0.7252578408010552
177,200,152,142,True,True,142,0.04969599258125816,1.3770202484874101,0.7990295384648866
178,200,154,121,True,True,121,0.042166112874219126,1.5212139144288153,0.7497434246279961
179,200,161,147,True,True,147,0.04789525550326539,1.039770576305993,0.7622601982777445
180,200,172,157,True,True,157,0.04207951373733519,1.26420115947145,0.7706625914901893
181,200,161,138,True,True,138,0.05410954713768103,2.5033317217985283,0.8516415434318755
182,200,167,152,True,True,152,0.06815176483236832,3.3459496192440517,0.8630152916734996
183,200,169,156,True,True,156,0.061528343860777275,3.5640928092937405,0.9269758797513629
184,200,179,162,True,True,162,0.06696424855232629,3.145496961589978,0.9109216961442276
185,200,180,163,True,True,163,0.05436774856658179,2.542388868171078,0.859986990177491
186,200,187,163,True,True,163,0.05855628177163964,1.8411135453438976,0.8209891563850716
187,200,180,156,True,True,156,0.050285926603374755,1.6236717604726625,0.9283735650134498
188,200,196,176,True,True,176,0.04873322182729551,1.7092145653469648,0.8695019253146797
189,200,197,170,True,True,170,0.05503074553342319,2.0920097185080895,0.9432986711598724
190,200,197,161,True,True,161,0.07472312038480546,2.370760614124712,0.8963153626097985
191,200,198,171,True,True,171,0.0481672090588828,3.063655610055783,0.9263706853665178
192,200,195,140,True,True,140,0.05398052268200953,3.129826916957061,1.0000992011423955
193,200,197,152,True,True,152,0.051203620816087786,3.5062294312266875,0.9438240839982186
194,200,195,163,True,True,163,0.06016080929787036,3.461475152421045,0.9655396372266544
195,200,195,153,True,True,153,0.07270219890733669,2.539351855569521,0.9183340229230874
196,200,199,166,True,True,166,0.063092302443706,2.7725173938951704,0.9648426100069329
197,200,191,166,True,True,166,0.06884827828255957,2.949859908970222,0.9161938834056144
198,200,195,175,True,True,175,0.06434844694954392,3.165296513796944,0.887205968766611
199,200,200,180,True,True,180,0.06321982205607231,2.3952671388189035,0.9060132246437032
200,200,200,184,True,True,184,0.06253209229012677,1.0848330655424325,0.7934449958470428
201,200,200,163,True,True,163,0.06035883182231391,0.8497936930075561,0.9247839248867492
202,200,200,175,True,True,175,0.04657351578189199,0.5672371345782836,0.7350259744571873
203,200,200,182,True,True,182,0.04635515499304734,0.6900670849066182,0.6559301415171718
204,200,200,173,True,True,173,0.04485061381035202,1.372546107946831,0.9617020245238515
205,200,200,163,True,True,163,0.051547030272742746,1.5109239687115696,0.8633813644934402
206,200,196,170,True,True,170,0.048609710342090044,2.626390700208902,0.8771425324341304
207,200,199,161,True,True,161,0.03391948449010592,2.653864793669636,0.8726221150144469
208,200,199,179,True,True,179,0.035613953482789694,2.0796192861041334,0.8812582473706967
209,200,200,166,True,True,166,0.03767652830565731,1.6837534736791535,0.9080813211499608
210,200,199,184,True,True,184,0.03702548650540871,2.0060182933259787,0.8805490854087997
211,200,191,158,True,True,158,0.029881397387614955,2.609708285321161,0.8973169164137171
212,200,195,166,True,True,166,0.04486644953928905,2.139275041105704,0.9398257280260905
213,200,200,177,True,True,177,0.04134969816078524,1.837501726658539,0.9181440034254443
214,200,199,161,True,True,161,0.04024428917810532,1.713763999550845,0.9123345812127428
215,200,200,162,True,True,162,0.06140635840435098,1.8751669817574816,0.8847074606647426
216,200,200,162,True,True,162,0.06567107655345152,1.6245286857875614,0.8970813158342128
217,200,200,173,True,True,173,0.04183026250899076,2.136983457435127,0.8772078013276152
218,200,200,154,True,True,154,0.035232708143055326,1.9782818536720732,0.8729602536683492
219,200,198,164,True,True,164,0.036704213152184896,1.4152134259924047,0.8655343571965898
220,200,199,165,True,True,165,0.04461043611431533,0.6947286006165423,0.8664547499109104
221,200,197,165,True,True,165,0.03903588426354397,0.6043154730001613,0.9225584598495931
222,200,198,169,True,True,169,0.03160724329550046,0.6881721850576953,0.8640085054383826
223,200,199,176,True,True,176,0.039097936512470156,1.2332932444209115,0.8753748248766379
224,200,198,172,True,True,172,0.043904984609284,1.9111936439499688,0.7990510082188146
225,200,200,175,True,True,175,0.052463856484068865,3.171640996146481,0.8766559894782854
226,200,199,179,True,True,179,0.06106477834120318,3.694527519012433,0.773647784933493
227,200,198,161,True,True,161,0.06072028426096799,3.9447473657364087,0.871733322757151
228,200,193,170,True,True,170,0.06275635987841462,3.726675071817857,0.8661762077232257
229,200,195,162,True,True,162,0.061763616431213295,3.299154292894253,0.8225781675035413
230,200,197,178,True,True,178,0.0562736805929925,2.956686260302565,0.8729034576950953
231,200,197,163,True,True,163,0.04951510529889557,2.7081047892406915,0.8528369326992868
232,200,198,170,True,True,170,0.04099456308792026,1.2388925756598836,0.8249656000557253
233,200,200,175,True,True,175,0.04188793518225572,0.9312739259984429,0.8961017404663694
234,200,195,158,True,True,158,0.040454222986356654,0.9563689298298284,0.8437817399717323
235,200,199,164,True,True,164,0.040358801520040316,1.271385996013889,0.761213944704562
236,200,195,168,True,True,168,0.04677885455285162,2.0188274684229275,0.838468321716533
237,200,190,168,True,True,168,0.053313951011918014,2.406672474887392,0.7773819241574998
238,200,189,169,True,True,169,0.057027639327305514,2.7347350701484925,0.8735651621603744
239,200,195,161,True,True,161,0.057789023665001236,2.97749610209035,0.8221418986111212
240,200,200,169,True,True,169,0.05615945292538944,3.01106120686819,0.8027091488576532
241,200,200,166,True,True,166,0.05783503079777412,3.0103681180023933,0.841776344458445
242,200,200,165,True,True,165,0.05524117597703494,2.858908567482311,0.8045137871071373
243,200,197,167,True,True,167,0.054754564662218036,2.4308724569155546,0.9006042519085972
244,200,184,163,True,True,163,0.052549439232677346,1.8318106854719245,0.815392098224221
245,200,175,160,True,True,160,0.04535669860680924,1.3200943642071026,0.7795229479378509
246,200,176,157,True,True,157,0.04530466644498945,0.9578665407892918,0.6988702446259695
247,200,183,167,True,True,167,0.03177783628520953,0.9075543113066875,0.7537119546144956
248,200,185,149,True,True,149,0.03613985985251371,1.183616970806891,0.7730273419460219
249,200,190,158,True,True,158,0.031777382863800094,1.9382265954305427,0.8287449238075675
250,200,194,178,True,True,178,0.046245768680551955,2.062682135789198,0.7513040682314568
251,200,196,164,True,True,164,0.04941008398945692,1.916324982639303,0.7874006219082873
252,200,198,169,True,True,169,0.05344347624025459,2.4182165048809368,0.7862061849548134
253,200,197,171,True,True,171,0.05464575868275825,2.7567537421370067,0.8223759774405581
